"1--1000", 197
"1001--2000", 139
"2001--3000", 141
"3001--4000", 120
"4001--5000", 155
"5001--6000", 126
"6001--7000", 139
"7001--8000", 118
"8001--9000", 115
"9001--10000", 132
"10001--11000", 134
"11001--12000", 123
"12001--13000", 109
"13001--14000", 116
"14001--15000", 131
"15001--16000", 108
"16001--17000", 137
"17001--18000", 105
"18001--19000", 114
"19001--20000", 111
"20001--21000", 123
"21001--22000", 109
"22001--23000", 97
"23001--24000", 99
"24001--25000", 102
"25001--26000", 127
"26001--27000", 95
"27001--28000", 116
"28001--29000", 109
"29001--30000", 88
"30001--31000", 125
"31001--32000", 103
"32001--33000", 114
"33001--34000", 111
"34001--35000", 101
"35001--36000", 109
"36001--37000", 103
"37001--38000", 104
"38001--39000", 113
"39001--40000", 101
"40001--41000", 103
"41001--42000", 121
"42001--43000", 119
"43001--44000", 106
"44001--45000", 92
"45001--46000", 116
"46001--47000", 124
"47001--48000", 119
"48001--49000", 124
"49001--50000", 115
"50001--51000", 111
"51001--52000", 114
"52001--53000", 110
"53001--54000", 110
"54001--55000", 95
"55001--56000", 113
"56001--57000", 116
"57001--58000", 119
"58001--59000", 110
"59001--60000", 133
"60001--61000", 114
"61001--62000", 121
"62001--63000", 108
"63001--64000", 114
"64001--65000", 121
"65001--66000", 115
"66001--67000", 109
"67001--68000", 102
"68001--69000", 119
"69001--70000", 107
"70001--71000", 124
"71001--72000", 110
"72001--73000", 112
"73001--74000", 123
"74001--75000", 138
"75001--76000", 117
"76001--77000", 123
"77001--78000", 121
"78001--79000", 129
"79001--80000", 117
"80001--81000", 118
"81001--82000", 115
"82001--83000", 102
"83001--84000", 113
"84001--85000", 116
"85001--86000", 115
"86001--87000", 97
"87001--88000", 118
"88001--89000", 134
"89001--90000", 103
"90001--91000", 125
"91001--92000", 104
"92001--93000", 125
"93001--94000", 117
"94001--95000", 118
"95001--96000", 122
"96001--97000", 112
"97001--98000", 127
"98001--99000", 122
"99001--100000", 108
"100001--101000", 112
"101001--102000", 107
"102001--103000", 114
"103001--104000", 120
"104001--105000", 122
"105001--106000", 106
"106001--107000", 144
"107001--108000", 134
"108001--109000", 117
"109001--110000", 118
"110001--111000", 131
"111001--112000", 119
"112001--113000", 136
"113001--114000", 137
"114001--115000", 134
"115001--116000", 102
"116001--117000", 124
"117001--118000", 136
"118001--119000", 131
"119001--120000", 119
"120001--121000", 103
"121001--122000", 134
"122001--123000", 125
"123001--124000", 134
"124001--125000", 121
"125001--126000", 102
"126001--127000", 129
"127001--128000", 141
"128001--129000", 122
"129001--130000", 116
"130001--131000", 115
"131001--132000", 118
"132001--133000", 115
"133001--134000", 116
"134001--135000", 129
"135001--136000", 149
"136001--137000", 105
"137001--138000", 119
"138001--139000", 125
"139001--140000", 105
"140001--141000", 133
"141001--142000", 132
"142001--143000", 129
"143001--144000", 128
"144001--145000", 124
"145001--146000", 135
"146001--147000", 128
"147001--148000", 125
"148001--149000", 111
"149001--150000", 121
"150001--151000", 124
"151001--152000", 126
"152001--153000", 128
"153001--154000", 108
"154001--155000", 110
"155001--156000", 108
"156001--157000", 111
"157001--158000", 127
"158001--159000", 121
"159001--160000", 112
"160001--161000", 115
"161001--162000", 118
"162001--163000", 102
"163001--164000", 107
"164001--165000", 113
"165001--166000", 115
"166001--167000", 123
"167001--168000", 135
"168001--169000", 116
"169001--170000", 113
"170001--171000", 122
"171001--172000", 118
"172001--173000", 116
"173001--174000", 110
"174001--175000", 124
